internal_order_number,online_order_number,store_name,full_channel_user_id,shipping_date,payment_date,payable_amount,paid_amount,status,consignee,spu,order_time,province,city,platform,sub_order_number,online_sub_order_number,original_online_order_number,sku,quantity,unit_price,product_name,color_and_spec,product_amount,original_price,is_gift,sub_order_status,refund_status,registered_quantity,actual_refund_quantity
1609CA55-2D99-49D7,OLB2442928-7E7F-4A9D,安娜奥莱店,68402926-beec-4566-a,2025-07-15 16:56:03,2025-07-14 13:56:03,451.96,449.35,已发货,金杨,SPU6c1a65,2025-07-13 18:56:03,西藏自治区,坤市,拼多多,SUBD07B0B02-962A-45,ONLINESUBFB60AFF0-15B5-46,ORIG5CF98502-EC61-43,SKU9c4d3f,1,471.32,Profit-focused content-based parallelism,SteelBlue,471.32,527.61,是,正常,申请退款,1,0
EBC7190B-F075-4F18,OLDA234C99-3165-47A3,安娜分销店,9bfa5f54-fa1e-4f9f-b,2025-07-13 04:01:23,2025-07-10 23:01:23,385.8,382.66,已签收,鞠秀兰,SPU347685,2025-07-10 19:01:23,西藏自治区,静县,抖音,SUB04713E81-00AA-44,ONLINESUB7BC1BBC0-32F4-49,ORIGABE6302A-6878-45,SKU8bd81f,3,153.92,Adaptive national product,AntiqueWhite,461.76,240.12,否,正常,退款关闭,0,0
5CAF1B0B-A018-4870,OLA25EF119-8135-4D1D,安娜分销店,8a618bf3-c9a5-4be2-9,2025-07-29 17:51:54,2025-07-27 15:51:54,443.76,425.9,已发货,王建国,SPU78e25e,2025-07-27 15:51:54,北京市,红霞县,小红书,SUB8F4E38ED-7DEE-45,ONLINESUB8F7B16B6-3672-44,ORIG26F4E124-333A-43,SKUb57e49,2,261.01,Reduced mission-critical open system,DarkSalmon,522.02,359.67,否,正常,申请退款,2,0
B1BC20F7-0B90-4052,OL0DC0DCAC-1E5C-498C,安娜旗舰店,ef3dfd78-31dd-4910-b,2025-09-03 21:44:57,2025-09-01 17:44:57,411.25,400.76,已发货,张伟,SPU6aaf94,2025-09-01 17:44:57,新疆维吾尔自治区,丹县,抖音,SUBE9EA89CC-B2C3-4E,ONLINESUB37E8A91C-1DDD-48,ORIG5CDC56C7-77D2-47,SKU532b02,3,162.95,Focused attitude-oriented service-desk,Cyan,488.85,194.45,否,正常,未申请退款,0,0
A89E42B8-F6E6-489E,OL0420A4C1-6370-4579,安娜旗舰店,097db501-9ca3-481b-b,2025-06-25 23:03:17,2025-06-25 09:03:17,522.1,501.25,已完成,黄平,SPU2e603d,2025-06-25 08:03:17,天津市,海门县,京东,SUB5022F41D-4736-42,ONLINESUBBE1AB84E-D30C-44,ORIG74334621-91C3-4D,SKUa07286,1,603.06,Open-source high-level synergy,LightCyan,603.06,652.27,否,正常,申请退款,1,0
500EA001-09A2-4C20,OL8BBBE669-E423-44D4,安娜旗舰店,0598cba2-aabf-4b06-8,2025-05-12 15:56:38,2025-05-09 21:56:38,708.93,682.84,已完成,王秀兰,SPUd825d7,2025-05-08 22:56:38,吉林省,桂英县,小红书,SUB7C1F415F-438E-4C,ONLINESUB62AD6F30-27A2-49,ORIGCBA6ED2C-AC60-42,SKUc97a66,1,830.94,Re-engineered high-level frame,GoldenRod,830.94,976.72,是,正常,退款关闭,0,0
A81265E2-AFE1-41AB,OLCECC2437-FF10-45A1,安娜旗舰店,4c74a530-e544-4b62-8,2025-09-16 07:28:38,2025-09-14 17:28:38,1107.56,1081.97,已签收,丁淑珍,SPU774b8d,2025-09-14 13:28:38,云南省,荣县,抖音,SUB68AEE2A6-8440-49,ONLINESUB25C35627-DC83-47,ORIG03B5B7B8-554B-49,SKUd28cc4,2,588.15,Re-engineered non-volatile utilization,Yellow,1176.3,915.78,是,正常,退款关闭,0,0
0E3411C1-BAD8-4DA0,OLFE01C718-4B8A-4C02,安娜奥莱店,3bfeb2c2-485b-44fd-b,2025-08-02 04:39:36,2025-07-31 23:39:36,333.32,327.88,已完成,张林,SPU8883d7,2025-07-31 04:39:36,湖南省,俊市,天猫,SUBB105C1E0-04CE-49,ONLINESUB4CBB5ED9-29A4-46,ORIGEB7B1D9D-926C-45,SKU83fc54,2,180.07,Face-to-face incremental hardware,Bisque,360.14,283.82,否,正常,申请退款,2,0
134CB3C2-FF39-4B0E,OLD5CEC68E-B344-4152,安娜分销店,b39f2f41-40d3-44d9-9,2025-06-27 04:53:56,2025-06-26 04:53:56,1813.78,1801.24,已签收,郭莉,SPU81ae40,2025-06-25 09:53:56,福建省,兴城市,得物,SUBDA692037-097D-45,ONLINESUBA45F6D8D-30BE-41,ORIG065BBBB1-5D50-4A,SKUc78f57,3,697.31,Organic non-volatile forecast,DarkMagenta,2091.93,860.4,否,正常,未申请退款,0,0
D635DD65-5894-4D49,OLE89D0B7C-F5FD-46ED,安娜直播店,37f5f3c9-7464-4167-a,2025-07-24 01:39:39,2025-07-22 15:39:39,1716.03,1684.73,已签收,胡杰,SPU0cce85,2025-07-22 10:39:39,山西省,倩市,得物,SUB56035F33-ED80-4D,ONLINESUBDE8EA1F9-3055-41,ORIGC432187B-1B58-4C,SKU5af35d,2,921.15,User-centric exuding Graphic Interface,Maroon,1842.3,1091.39,是,正常,退款关闭,0,0
